size=2112x1188 tile=192x108 count=121
index=106 approx_sec=3604 mean_diff=45.784 rms=70.257
index=107 approx_sec=3638 mean_diff=46.134 rms=70.681
index=108 approx_sec=3672 mean_diff=45.784 rms=70.283
index=109 approx_sec=3706 mean_diff=74.143 rms=101.406
index=110 approx_sec=3740 mean_diff=42.763 rms=68.944
index=111 approx_sec=3774 mean_diff=43.081 rms=69.274
index=112 approx_sec=3808 mean_diff=27.588 rms=52.294
index=113 approx_sec=3842 mean_diff=45.395 rms=69.857
index=114 approx_sec=3876 mean_diff=33.134 rms=61.911
index=115 approx_sec=3910 mean_diff=27.762 rms=52.669
index=116 approx_sec=3944 mean_diff=74.083 rms=101.323
index=117 approx_sec=3978 mean_diff=27.602 rms=52.392
index=118 approx_sec=4012 mean_diff=45.169 rms=69.631
index=119 approx_sec=4046 mean_diff=45.404 rms=69.661
index=120 approx_sec=4080 mean_diff=109.747 rms=148.312
